"id","label","description","alias","instance_P2","subclass_P1","Beispiel"
"Q1","SKOS Plus Class","Basic Class","skp:Concept",,,
"Q2","Concept","SKOS Concept","skos:Concept",,"Q1","Keramik"
"Q3","Structural Concept","Concept with structuring function","skp:StructualConcept",,"Q2","[Objekt-Wekstoff]"
"Q4","Concept Scheme","SKOS Concept Scheme","skos:ConceptScheme",,"Q1",
"Q5","Repository","External Repository",,,"Q1",
"Q6","LEIZA Restaurierungs- und Konservierungsthesaurus f체r arch채ologische Kulturg체ter","Fachthesaurus f체r Konservierungs- und Restaurierungsprozesse, bzw. Erhaltungsprozesse",,"Q4",,
"Q8","LEIZA KB Restaurierung/Konservierung","Department at LEIZA",,"Q2",,
"Q9","Wikidata","Wikidata Repository",,"Q5",,
"Q10","Wikipedia","Wikipedia Repository",,"Q5",,
"Q11","Getty AAT","Getty AAT Repository",,"Q5",,
"Q13","CAMEO","Conservation & Art Materials Encyclopedia Online",,"Q5",,"https://cameo.mfa.org/wiki/Abaca"
"Q14","LIDO-Terminologie","LIDO-Terminologie Repository",,"Q5",,"https://terminology-view.lido-schema.org/"
"Q15","GND","Gemeinsame Normdatei",,"Q5",,
